1/mu_CNT	A_P	A_S	A_IH
5	0.998264216	0.998256890	0.997658110
10	0.998259001	0.998244349	0.997607230
15	0.998253786	0.998231808	0.997556200
20	0.998248571	0.998219267	0.997505112
25	0.998243356	0.998206726	0.997453910
30	0.998238142	0.998194186	0.997402657
35	0.998232927	0.998181646	0.997351311
40	0.998227712	0.998169105	0.997299907
45	0.998222498	0.998156565	0.997248396
