Configuration , P-CSCF , S-CSCF , I-CSCF/HSS , Availability , Cost
$RN_1$ , 1 , 1 , 1 , 0.99 , 54.5
$RN_2$ , 2 , 2 , 2 , 0.9999 , 109.0
$RN_3$ , 3 , 2 , 2 , 0.99999 , 118.0
$RN_4$ , 2 , 3 , 2 , 0.999991 , 121.0
$RN_5$ , 3 , 3 , 2 , 0.999994 , 130.0
$RN_6$ , 2 , 2 , 3 , 0.999994 , 142.5
$RN_7$ , 3 , 3 , 3 , 0.999999 , 163.5
